"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"
"f1_85"	-0.189295105124122	0.0407780369359631	-0.0579441360658463	0.0180814361529871	-0.051932179728812	0.0633366954714657	0.0399387638879158	-0.14056714465322	0.0204123129727392	-0.203812220904108
"f1_90"	-0.180192828999629	0.0460018759476857	-0.0618348544631885	0.0403133993467505	-0.0507287075434739	0.0440934178982555	0.026708217099933	-0.122944005415774	0.0539551541322393	-0.239032090748315
"f1_95"	-0.174187196371958	0.0456378740202572	-0.0735207146077628	0.0473174938274498	-0.0592511604842899	0.0270677502188425	0.0172260657864454	-0.112507025850184	0.0681424783786787	-0.236951409393639
"f1_100"	-0.174911460343985	0.0582633399044473	-0.0575209085123828	0.058176106318013	-0.0378222405274037	0.0173074973417489	-0.00528245630621563	-0.0788748876922763	0.0654154025993488	-0.217288612093963
"f2_0"	0.0210897498353852	0.0743164661115811	-0.242402367394376	0.14707173765678	-0.194562318543805	0.211824020303521	0.120494113904326	0.0791559785976543	0.0351355065708386	0.030522721167624
"f2_5"	0.029254139989288	0.0907003860876523	-0.23677873443225	0.142019726031195	-0.235737079808161	0.217490474334762	0.0728831629776955	0.0809701398083756	0.0564359798871363	0.050237968651267
"f2_10"	0.0321636881615042	0.101803498851947	-0.23152095253498	0.151024512751724	-0.230120585316357	0.182335759302108	0.0651028377614983	0.057253682332872	0.0372014473959459	0.0832920451780852
"f2_15"	0.0428211402824897	0.12060329245725	-0.239325807934311	0.170415287803091	-0.138045117051994	0.159634529595727	0.0224794814985797	0.0729126226770368	-0.00720854108649023	0.0620829356724484
"f2_20"	0.060002775379932	0.144162325438809	-0.225760516856586	0.177233404828334	-0.0313914124046985	0.0489452232595447	0.0536016134780101	0.0497197881912563	-0.0263473068372772	0.103243586317956
"f2_25"	0.0722508370870723	0.161919603207964	-0.192505189460498	0.165977149629789	0.024145126171957	0.00252786362680141	0.0686504741284475	0.024879989514336	-0.0421653274803893	0.11687476927091
"f2_30"	0.0821125726129106	0.177395445572735	-0.152409934692091	0.143478702500966	0.073213432088303	-0.0729085733265718	0.0633461685248184	-0.0353316838551557	-0.0301738272521815	0.110799880140168
"f2_35"	0.083807564508465	0.185090916796118	-0.126680715947544	0.110106469610162	0.172278714709957	-0.0888736539020844	0.107057862164091	-0.037211853759311	-0.01511006944376	0.0992539336642391
"f2_40"	0.0860620110720449	0.198115953991576	-0.0968344918765105	0.075881178197984	0.184571064707187	-0.0896156034780631	0.126527072320003	-0.0628142492061149	-0.0191331813679689	0.0700942540789953
"f2_45"	0.0902664970627673	0.212432025481432	-0.067206771138119	0.0341865126866819	0.17938752323934	-0.0796676973279368	0.12417091582227	-0.0868618831728788	-0.0392561836096788	0.0197428994945319
"f2_50"	0.0877662921147666	0.225027236248443	-0.0332762145859224	-0.00684815898370402	0.167714511762203	-0.0629889363240218	0.118560470500059	-0.110125839579152	-0.0329600477726646	-0.0259875189827015
"f2_55"	0.0845319085001577	0.23597897884788	0.00323045421042791	-0.0347742073748631	0.136108489966792	-0.0347650151791704	0.101435323907804	-0.141638406152132	0.00421155608014974	-0.0696659050392626
"f2_60"	0.080927158223873	0.233917658887079	0.0368874025297385	-0.0783451313058198	0.10314302138044	-0.0110142604705646	0.0799516879258355	-0.150965003084351	0.0199280727476325	-0.0918146719920997
"f2_65"	0.0778085886318091	0.228258786404585	0.0608227430818099	-0.111055913745249	0.0700298537816671	-0.00750452644194605	0.0871881689926715	-0.141305051516793	0.0446198793025064	-0.0922848670898395
"f2_70"	0.073904738200993	0.22358073201288	0.0779873859897164	-0.13300541828503	0.031531573201836	0.0162819711514157	0.088505120684309	-0.122281543617068	0.0931068916460417	-0.056341019087042
"f2_75"	0.0682476396150052	0.217876932415027	0.101311573986212	-0.160911468352228	-0.000631301954581329	0.0456385080532107	0.0820732207544059	-0.0863131701980188	0.0920050528551799	-0.0289299901153176
"f2_80"	0.0575074679530692	0.212054837398339	0.127752419878887	-0.170930059440635	-0.0572848544978323	0.039134428999724	0.0767244307064452	-0.0149904287002185	0.110209071145846	-0.0195231195866107
"f2_85"	0.0480825967492285	0.206759342271061	0.147924350775026	-0.186114058205065	-0.130455144486315	0.0273114345765986	0.0888804267712453	0.0602908626441283	0.0926189962446293	-0.010072692487757
"f2_90"	0.0323336067130735	0.178428716113188	0.163872729282513	-0.185376270201456	-0.205786299822787	0.0304789115231082	0.0995412263319906	0.208369258145111	0.0641407726296007	0.0481260516397034
"f2_95"	0.0246484459759074	0.159349629971988	0.164719578895931	-0.172407791521079	-0.224915503216143	0.0421328394308935	0.0838154953986573	0.249296922523961	0.0620231102449778	0.0662279132396333
"f2_100"	0.0175930353196874	0.150639070875641	0.160317299139363	-0.156229647909893	-0.218177306254586	0.0557460056577106	0.0557246874758211	0.298173229331427	0.0691399390327035	0.0985844041708352
"f3_0"	-0.0562717839291328	-0.0583437536970954	-0.230046428473556	-0.162182966086373	0.0078758172057946	-0.192742521723441	-0.0795390053917632	-0.0856427347678099	0.340683414043509	0.0418896605958947
"f3_5"	-0.0586363194115239	-0.037538139824314	-0.233500780727994	-0.172068702579191	-0.0350909591564691	-0.201020649809437	-0.0733887697188085	-0.0604908492334812	0.296003056310528	0.0346275768431619
"f3_10"	-0.0684043873283338	-0.0384048750011715	-0.245158709376052	-0.183975859586072	-0.0382109114427257	-0.213826355158855	-0.038475537322843	-0.0081492568629269	0.222868691721415	-0.00264897892723257
"f3_15"	-0.0752421542819442	-0.0321212720454587	-0.237212825348707	-0.179568596445286	-0.0224681675378892	-0.220736340470741	0.0682454306592127	0.0845654742032716	0.0873663170880608	-0.0296718605998265
"f3_20"	-0.0920616456187245	-0.035020335109518	-0.224339186782397	-0.174688410071008	0.0350544965308746	-0.19385433382089	0.130028503959962	0.138041949342079	0.0489120722488519	0.0110467384570614
"f3_25"	-0.104454410858804	-0.0409912152147198	-0.179516418670445	-0.140670069437643	0.0859522696479668	-0.0827476318930832	0.207039358113563	0.222983158053992	-0.0470901415866816	-0.00871353068712434
"f3_30"	-0.117245350676025	-0.0472345951117926	-0.112324193026908	-0.111323422800093	0.163186816583061	-0.0334107293651227	0.262898460272847	0.265483387025115	-0.0797321821339983	-0.0328806703973365
"f3_35"	-0.120046761871889	-0.0577105151481135	-0.0260892761003881	-0.0898021285923603	0.252226479015322	0.067024116846444	0.230391324295209	0.248430800481338	-0.0842417930394237	-0.0552434067484441
"f3_40"	-0.120715872804237	-0.0589157392380515	0.0186740659021293	-0.0492011275895768	0.240638332234141	0.100771042822954	0.238184679689639	0.187282571693656	-0.058236600128501	-0.0860749462144813
"f3_45"	-0.132328201603407	-0.0744678726148491	0.0590094924931085	0.0108520566516242	0.200698708961595	0.146358531049191	0.162131823869298	0.0793088403760684	-0.0551868415940742	-0.0131752836728284
"f3_50"	-0.134999747358904	-0.0655596286594081	0.085636273506837	0.0723939054106841	0.166920215479703	0.158497475282407	0.175405373493404	0.00196822324926972	0.0574751131085209	-0.0076432927782473
"f3_55"	-0.1374546850693	-0.0373075533424333	0.104937062155103	0.123222228457638	0.132730378679738	0.135130164344116	0.158314133821788	-0.0357905630641662	0.169896306810878	0.0703059722230841
"f3_60"	-0.14047116437804	-0.0255536683095576	0.116402892774367	0.166065542481956	0.0949680404823312	0.0728362832513112	0.12358115310337	-0.0411447093276611	0.194358204472364	0.131870633465339
"f3_65"	-0.13312261373837	-0.00597692331834866	0.1259803212015	0.184024247388837	0.0495218557031304	0.0193003266583761	0.0720123654582297	-0.0513672308832133	0.271728803896721	0.156816827292228
"f3_70"	-0.133420580090388	0.00548428270403272	0.13232588586012	0.184719509463113	0.0301466000259577	-0.040538077659703	0.0545912554273372	-0.0295063893452487	0.285253285721344	0.158344821105933
"f3_75"	-0.132419032260846	0.0292913464989369	0.133150846684531	0.169805865843401	0.00105277913935855	-0.108625601299176	0.0573354297838693	0.000287431624102799	0.257678959963421	0.130874884632997
"f3_80"	-0.129849079400321	0.0505864297351554	0.136591079979185	0.182657610758954	-0.0387905130842338	-0.188347281407537	0.0522429489607288	0.0533994220376282	0.187671858603146	0.0717053791422686
"f3_85"	-0.125589182780518	0.0698974703105884	0.13067813063944	0.194450363619084	-0.0986270607908888	-0.267741799732788	0.0645662032984031	0.10070247590191	0.0839544757268657	-0.0449196440921926
"f3_90"	-0.115740271710644	0.0884427810133834	0.101101101048709	0.199808569478619	-0.127130382317189	-0.296978100246402	0.0303089480099882	0.148109618911299	-0.0716420211549187	-0.116632748487206
"f3_95"	-0.0947282909432121	0.11071086824645	0.0668681691658432	0.185144979658295	-0.11744170856162	-0.308503733765355	0.00114480790438244	0.143729213650473	-0.209510051318852	-0.128074594659663
"f3_100"	-0.0877582250755789	0.12730523624247	0.0407907128916688	0.181032782734742	-0.100461193610954	-0.272231870639685	-0.0065535735783428	0.106855900595065	-0.256281151508696	-0.183975779647579
